P,P,C,1B,2B,3B,SS,OF,OF,OF
28050915,28050918,28051207,28051103,28050968,28051139,28051013,28050932,28051010,28051035,
28050914,28050915,28051207,28050967,28050968,28051139,28051097,28050932,28051120,28051136,
28050918,28050920,28051207,28050967,28050968,28051139,28050977,28050932,28050960,28051123,
28050915,28050918,28051165,28051121,28051210,28050983,28051013,28050936,28051027,28051208,
28050914,28050918,28051207,28051121,28050968,28051139,28051013,28050936,28050946,28051027,
28050915,28050918,28051207,28051113,28050940,28051139,28051013,28051027,28051054,28051208,
28050918,28050920,28051156,28051121,28051210,28050983,28050977,28050936,28050946,28051123,
28050915,28050918,28051165,28051059,28051210,28050983,28050977,28050960,28051037,28051135,
28050915,28050918,28051000,28051121,28050942,28050983,28051097,28050936,28051120,28051136,
28050915,28050918,28051156,28051113,28050940,28051012,28050977,28051048,28051054,28051123,
28050914,28050915,28051030,28051173,28051210,28050983,28051100,28050936,28051091,28051144,
28050914,28050915,28051156,28051059,28051026,28051061,28050977,28050960,28051024,28051123,
